Date;Sentiment;Close;Variation;
07/09/2022;24;19280;2.61;
06/09/2022;22;18790;-5.04; 
05/09/2022;23;19788;-1.07; 
04/09/2022;20;20002;0.84; 
03/09/2022;21;19835;-0.69; 
02/09/2022;25;19973;-0.80; 
01/09/2022;20;20134;0.38; 
31/08/2022;23;20058;1.24; 
30/08/2022;27;19812;-2.44; 
29/08/2022;24;20308;3.84;
28/08/2022;28;19558;-2.39; 
27/08/2022;28;20036;-1.10;
26/08/2022;27;20258;-6.05;
25/08/2022;25;21563;0.92;
24/08/2022;25;21366;-0.75; 
23/08/2022;28;21527;0.62;
22/08/2022;29;21395;-0.53; 
21/08/2022;27;21510;1.75;
20/08/2022;29;21141;1.45 
19/08/2022;33;20839;-10.16 
18/08/2022;30;23197;-0.59 
17/08/2022;41;23335;-2.18 
16/08/2022;44;23856;-0.99 
15/08/2022;45;24094;-0.85 
14/08/2022;47;24300;-0.51 
13/08/2022;46;24425;0.12 
12/08/2022;42;24395;1.94 
11/08/2022;41;23932;-0.09 
10/08/2022;31;23954;3.51 
09/08/2022;42;23141;-2.84 
08/08/2022;30;23817;2.76 
07/08/2022;30;23178;1.11 
06/08/2022;31;22924;-1.66 
05/08/2022;31;23311;3.09 
04/08/2022;30;22612;-0.89 
03/08/2022;34;22814;-0.74 
02/08/2022;31;22984;-1.18 
01/08/2022;33;23259;-0.15 
31/07/2022;39;23294;-1.46 
30/07/2022;42;23639;-0.53 
29/07/2022;39;23764;-0.37 
28/07/2022;32;23852;3.92 
27/07/2022;28;22951;7.90 
26/07/2022;26;21271;-0.15 
25/07/2022;30;21303;-5.65 
24/07/2022;30;22579;0.59 
23/07/2022;31;22446;-1.01 
22/07/2022;33;22676;-2.06 
21/07/2022;34;23152;-0.25 
20/07/2022;31;23209;-0.81 
19/07/2022;30;23398;4.10 
18/07/2022;20;22476;8.16 
17/07/2022;24;20781;-2.09 
16/07/2022;21;21224;1.96 
15/07/2022;15;20816;1.16 
14/07/2022;18;20578;1.64 
13/07/2022;15;20246;4.84 
12/07/2022;16;19311;-3.18 
11/07/2022;22;19945;-4.36 
10/07/2022;24;20855;-3.34 
09/07/2022;24;21576;-0.11 
08/07/2022;20;21600;-0.09 
07/07/2022;18;21620;5.17 
06/07/2022;18;20557;1.92 
05/07/2022;19;20169;-0.27 
04/07/2022;14;20224;4.74 
03/07/2022;11;19309;0.41 
02/07/2022;14;19230;-0.29 
01/07/2022;11;19286;-3.27 
30/06/2022;11;19938;-0.84 
29/06/2022;13;20107;-0.79 
28/06/2022;10;20267;-2.18 
27/06/2022;12;20718;-1.66 
26/06/2022;14;21067;-1.95 
25/06/2022;14;21485;1.21 
24/06/2022;11;21229;0.75 
23/06/2022;11;21071;5.66 
22/06/2022;11;19943;-3.62 
21/06/2022;9;20693;0.68 
20/06/2022;9;20554;-0.01 
19/06/2022;6;20556;8.31 
18/06/2022;6;18978;-7.02 
17/06/2022;9;20411;0.08 
16/06/2022;7;20394;-9.74 
15/06/2022;7;22594;1.90 
14/06/2022;8;22172;-1.40 
13/06/2022;11;22487;-15.68 
12/06/2022;14;26670;-6.17 
11/06/2022;12;28425;-2.33 
10/06/2022;13;29103;-3.35 
09/06/2022;11;30112;-0.39 
08/06/2022;17;30230;-2.95 
07/06/2022;15;31149;-0.71 
06/06/2022;13;31371;4.84 
05/06/2022;10;29923;0.16 
04/06/2022;14;29877;0.49 
03/06/2022;10;29730;-2.45 
02/06/2022;13;30478;2.17 
01/06/2022;17;29832;-6.17 
31/05/2022;16;31792;0.21 
30/05/2022;10;31726;7.63 
29/05/2022;14;29476;1.51 
28/05/2022;13;29037;1.50 
27/05/2022;12;28609;-2.07 
26/05/2022;12;29213;-1.05 
25/05/2022;11;29524;-0.41 
24/05/2022;12;29647;1.91 
23/05/2022;10;29091;-3.94 
22/05/2022;14;30283;2.87 
21/05/2022;13;29439;0.81 
20/05/2022;13;29202;-3.72 
19/05/2022;13;30329;5.75 
18/05/2022;12;28680;-5.79 
17/05/2022;8;30442;1.97 
16/05/2022;14;29854;-4.68 
15/05/2022;10;31319;4.04 
14/05/2022;9;30104;2.72 
13/05/2022;10;29306;0.74 
12/05/2022;12;29090;-0.02 
11/05/2022;12;29095;-6.30 
10/05/2022;10;31050;2.96 
09/05/2022;11;30158;-11.52 
08/05/2022;18;34084;-4.01 
07/05/2022;23;35508;-1.48 
06/05/2022;22;36040;-1.47 
05/05/2022;27;36577;-7.87 
04/05/2022;21;39701;5.17 
03/05/2022;27;37751;-2.00 
02/05/2022;28;38520;0.06 
01/05/2022;22;38496;2.21 
30/04/2022;20;37662;-2.43 
29/04/2022;23;38600;-2.91 
28/04/2022;24;39758;1.26 
27/04/2022;21;39263;2.95 
26/04/2022;27;38139;-5.73 
25/04/2022;23;40456;2.46 
24/04/2022;24;39486;0.10 
23/04/2022;24;39447;-0.70 
22/04/2022;26;39724;-1.92 
21/04/2022;27;40502;-2.09 
20/04/2022;27;41366;-0.36 
19/04/2022;27;41517;1.70 
18/04/2022;24;40821;2.80 
17/04/2022;28;39708;-1.74 
16/04/2022;28;40409;-0.44 
15/04/2022;22;40587;1.60 
14/04/2022;28;39948;-2.93 
13/04/2022;25;41155;2.66 
12/04/2022;20;40087;1.32 
11/04/2022;32;39565;-6.20 
10/04/2022;34;42181;-1.40 
09/04/2022;30;42780;1.19 
08/04/2022;37;42277;-2.72 
07/04/2022;34;43458;0.60 
06/04/2022;48;43199;-5.02 
05/04/2022;53;45481;-2.42 
04/04/2022;52;46611;0.49 
03/04/2022;48;46383;1.22 
02/04/2022;52;45825;-1.03 
01/04/2022;50;46301;1.68 
31/03/2022;52;45535;-3.19 
30/03/2022;55;47035;-0.82 
29/03/2022;56;47424;0.68 
28/03/2022;60;47105;0.57 
27/03/2022;49;46836;5.16 
26/03/2022;51;44536;0.45 
25/03/2022;47;44337;0.76 
24/03/2022;40;44003;2.61 
23/03/2022;31;42882;1.21 
22/03/2022;26;42370;3.26 
21/03/2022;30;41031;-0.53 
20/03/2022;31;41249;-2.29 
19/03/2022;28;42214;1.05 
18/03/2022;25;41774;2.03 
17/03/2022;27;40943;-0.50 
16/03/2022;24;41148;4.66 
15/03/2022;21;39317;-1.01 
14/03/2022;23;39717;5.14 
13/03/2022;21;37777;-2.68 
12/03/2022;22;38816;0.20 
11/03/2022;22;38737;-1.83 
10/03/2022;28;39459;-5.97 
09/03/2022;22;41962;8.27 
08/03/2022;21;38757;1.89 
07/03/2022;23;38039;-1.04 
06/03/2022;22;38437;-2.46 
05/03/2022;22;39408;0.61 
04/03/2022;33;39171;-7.81 
03/03/2022;39;42490;-3.33 
02/03/2022;52;43952;-1.10 
01/03/2022;51;44442;2.87 
28/02/2022;20;43202;14.49 
27/02/2022;26;37734;-3.56 
26/02/2022;26;39125;-0.30 
25/02/2022;27;39243;2.25 
24/02/2022;23;38380;2.92 
23/02/2022;25;37292;-2.63 
22/02/2022;20;38299;3.36 
21/02/2022;25;37054;-3.56 
20/02/2022;27;38420;-4.29 
19/02/2022;25;40141;0.26 
18/02/2022;30;40037;-1.28 
17/02/2022;52;40556;-7.59 
16/02/2022;51;43885;-1.51 
15/02/2022;46;44560;4.70 
14/02/2022;46;42560;1.11 
13/02/2022;44;42091;-0.35 
12/02/2022;44;42239;-0.42 
11/02/2022;50;42418;-2.59 
10/02/2022;50;43545;-2.00 
09/02/2022;54;44432;0.84 
08/02/2022;48;44061;0.45 
07/02/2022;45;43865;3.40 
06/02/2022;37;42423;2.34 
05/02/2022;33;41454;-0.26 
04/02/2022;20;41563;11.34 
03/02/2022;20;37331;1.10 
02/02/2022;28;36925;-4.67 
01/02/2022;26;38733;0.54 
31/01/2022;20;38526;1.55 
30/01/2022;29;37939;-0.68 
29/01/2022;24;38197;1.16 
28/01/2022;24;37760;1.46 
27/01/2022;20;37217;1.05 
26/01/2022;23;36831;-0.44 
25/01/2022;12;36994;0.80 
24/01/2022;13;36702;1.09 
23/01/2022;11;36308;3.43 
22/01/2022;13;35103;-3.83 
21/01/2022;19;36501;-10.41 
20/01/2022;24;40740;-2.25 
19/01/2022;24;41676;-1.68 
18/01/2022;24;42390;0.35 
17/01/2022;22;42242;-1.95 
16/01/2022;21;43084;0.03 
15/01/2022;23;43069;-0.05 
14/01/2022;21;43091;1.24 
13/01/2022;21;42562;-3.07 
12/01/2022;22;43909;2.73 
11/01/2022;21;42743;2.16 
10/01/2022;23;41839;-0.03 
09/01/2022;23;41850;0.41 
08/01/2022;10;41679;0.39 
07/01/2022;18;41518;-3.70 
06/01/2022;15;43111;-0.71 
05/01/2022;24;43418;-5.26 
04/01/2022;23;45830;-1.32 
03/01/2022;29;46445;-1.84 
02/01/2022;29;47314;-0.92 
01/01/2022;21;47755;3.33 
31/12/2021;28;46218;-1.99 
30/12/2021;22;47156;1.49 
29/12/2021;27;46465;-2.29 
28/12/2021;41;47554;-6.18 
27/12/2021;40;50684;-0.22 
26/12/2021;37;50797;0.71 
25/12/2021;39;50437;-0.74 
24/12/2021;41;50815;0.01 
23/12/2021;34;50812;4.50 
22/12/2021;45;48626;-0.61 
21/12/2021;27;48923;4.32 
20/12/2021;25;46898;0.39 
19/12/2021;29;46717;-0.35 
18/12/2021;24;46879;1.49 
17/12/2021;23;46193;-3.11 
16/12/2021;29;47675;-2.51 
15/12/2021;28;48901;1.02 
14/12/2021;21;48408;3.49 
13/12/2021;28;46777;-6.68 
12/12/2021;27;50123;1.54 
11/12/2021;16;49363;4.65 
10/12/2021;24;47170;-0.93 
09/12/2021;29;47611;-5.73 
08/12/2021;28;50503;-0.26 
07/12/2021;25;50634;0.13 
06/12/2021;16;50567;2.22 
05/12/2021;18;49469;0.40 
04/12/2021;25;49272;-8.26 
03/12/2021;31;53709;-4.97 
02/12/2021;32;56517;-1.28 
01/12/2021;34;57250;0.55 
30/11/2021;40;56938;-1.57 
29/11/2021;33;57845;0.91 
28/11/2021;27;57325;4.54 
27/11/2021;21;54836;2.04 
26/11/2021;47;53738;-8.91 
25/11/2021;32;58995;3.12 
24/11/2021;42;57209;-0.68 
23/11/2021;33;57602;2.31 
22/11/2021;50;56299;-4.24 
21/11/2021;49;58790;-1.59 
20/11/2021;43;59739;2.77 
19/11/2021;34;58130;1.96 
18/11/2021;54;57014;-5.58 
17/11/2021;52;60386;0.44 
16/11/2021;71;60124;-5.41 
15/11/2021;72;63562;-2.92 
14/11/2021;74;65471;1.65 
13/11/2021;72;64406;0.39 
12/11/2021;74;64156;-1.00 
11/11/2021;77;64801;-0.24 
10/11/2021;75;64954;-2.96 
09/11/2021;84;66935;-0.88 
08/11/2021;75;67526;6.75 
07/11/2021;73;63259;2.87 
06/11/2021;71;61496;0.79 
05/11/2021;73;61016;-0.66 
04/11/2021;73;61423;-2.35 
03/11/2021;76;62904;-0.55 
02/11/2021;73;63249;3.81 
01/11/2021;74;60927;-0.66 
31/10/2021;74;61330;-0.82 
30/10/2021;73;61839;-0.64 
29/10/2021;70;62235;2.70 
28/10/2021;66;60598;3.67 
27/10/2021;73;58453;-3.05 
26/10/2021;76;60290;-4.45 
25/10/2021;72;63100;3.70 
24/10/2021;73;60847;-0.74 
23/10/2021;74;61302;0.98 
22/10/2021;75;60708;-2.40 
21/10/2021;84;62200;-5.74 
20/10/2021;82;65988;2.73 
19/10/2021;75;64237;3.55 
18/10/2021;78;62034;0.85 
17/10/2021;79;61511;1.06 
16/10/2021;78;60868;-1.36 
15/10/2021;71;61709;7.59 
14/10/2021;70;57354;-0.05 
13/10/2021;70;57381;2.53 
12/10/2021;78;55967;-2.61 
11/10/2021;71;57468;5.06 
10/10/2021;71;54701;-0.50 
09/10/2021;72;54978;1.95 
08/10/2021;74;53925;0.25 
07/10/2021;76;53793;-2.78 
06/10/2021;68;55331;7.42 
05/10/2021;59;51508;4.58 
04/10/2021;54;49252;2.09 
03/10/2021;49;48243;1.19 
02/10/2021;54;47675;-1.00 
01/10/2021;27;48157;9.87 
30/09/2021;20;43830;5.48 
29/09/2021;24;41551;1.19 
28/09/2021;25;41064;-2.67 
