"Date";"Sentiment";"Close";"ETH";"Vol";"Haut";"Bas";"Variation";"Volatilite";
07/09/2022;24;19280;1630;6.19;19457;18561;2.61;0.1;
06/09/2022;22;18790;1558;12.12;20183;18692;-5.04;3.825;
05/09/2022;23;19788;1617;2.25;20045;19646;-1.07;1.985;
04/09/2022;20;20002;1579;2.04;20020;19590;0.84;0.955;
03/09/2022;21;19835;1558;1.65;20062;19667;-0.69;0.765;
02/09/2022;25;19973;1575;6.3;20441;19770;-0.80;0.055;
01/09/2022;20;20134;1585;5.94;20212;19587;0.38;0.59;
31/08/2022;23;20058;1555;4.64;20483;19812;1.24;0.43;
30/08/2022;27;19812;1523;5.33;20574;19574;-2.44;1.84;
29/08/2022;24;20308;1553;4.13;20412;19566;3.84;3.14;
28/08/2022;28;19558;1426;3.23;20163;19540;-2.39;3.115;
27/08/2022;28;20036;1491;2.55;20362;19852;-1.10;0.645;
26/08/2022;27;20258;1508;11.23;21866;20134;-6.05;2.475;
25/08/2022;25;21563;1695;3.22;21809;21320;0.92;3.485;
24/08/2022;25;21366;1657;5.41;21861;21160;-0.75;0.835;
23/08/2022;28;21527;1665;4.92;21671;20909;0.62;0.685;
22/08/2022;29;21395;1627;3.44;21527;20910;-0.53;0.575;
21/08/2022;27;21510;1618;2.31;21773;21077;1.75;1.14;
20/08/2022;29;21141;1576;2.04;21366;20769;1.45;0.15;
19/08/2022;33;20839;1610;9.53;23204;20793;-10.16;5.805;
18/08/2022;30;23197;1847;3.02;23599;23124;-0.59;4.785;
17/08/2022;41;23335;1834;6.13;24433;23180;-2.18;0.795;
16/08/2022;44;23856;1877;2.77;24234;23686;-0.99;0.595;
15/08/2022;45;24094;1900;8.93;25203;23776;-0.85;0.07;
14/08/2022;47;24300;1935;2.74;25003;24151;-0.51;0.17;
13/08/2022;46;24425;1984;4.05;24880;24307;0.12;0.315;
12/08/2022;42;24395;1958;3.56;24441;23603;1.94;0.91;
11/08/2022;41;23932;1880;5.88;24877;23861;-0.09;1.015;
10/08/2022;31;23954;1853;8.78;24215;22665;3.51;1.8;
